,year,importer,supply_concentration
224,1994,GUF,1.0
225,1994,HKG,0.1595369450312705
226,1994,HND,0.6608894988640897
227,1994,HRV,0.19827360235054886
228,1994,HUN,0.2575791939141651
229,1994,IDN,0.2157622677658801
230,1994,IND,0.13756127401148968
231,1994,IRL,0.23957022878493253
232,1994,ISL,0.14601890142398388
233,1994,ITA,0.17422670784930272
234,1994,JOR,0.2169204879873576
235,1994,JPN,0.1471838637203558
236,1994,KNA,0.9993459634652799
237,1994,KOR,0.5413713672972672
238,1994,LCA,0.3846168175366068
239,1994,LKA,0.2895694133750848
240,1994,LTU,0.29950389381445713
241,1994,LVA,0.24540890640433194
242,1994,MAC,0.7024975782184198
243,1994,MAR,0.2708515635097799
244,1994,MDA,0.4119165825505918
245,1994,MDG,0.574492579767126
246,1994,MEX,0.6350921354088623
247,1994,MKD,0.17715111888139737
248,1994,MLT,0.3092618132286421
249,1994,MOZ,0.33305555555555555
250,1994,MTQ,0.5979840806693252
251,1994,MUS,0.11554458941635679
252,1994,MWI,0.18175570810886363
253,1994,MYS,0.23427557321833678
254,1994,NIC,0.20680116876659077
255,1994,NLD,0.5166349924312927
256,1994,NOR,0.11653787116573244
257,1994,NPL,0.8417664522413142
258,1994,NZL,0.17714072519091217
259,1994,OMN,0.3896860242834207
260,1994,PER,0.3313239472107828
261,1994,POL,0.10203998943496832
262,1994,PRT,0.2966196797861785
263,1994,PRY,0.20560862109409975
264,1994,REU,0.4941437681281376
265,1994,ROU,0.1530089925908777
266,1994,SAU,0.31157138896034353
267,1994,SGP,0.24499948212672884
268,1994,SLV,0.7756786786459245
269,1994,SVK,0.12839616027538944
270,1994,SVN,0.22611112383650275
271,1994,SWE,0.21996111741261148
272,1994,SYC,0.8638070228215193
273,1994,TGO,0.6348396612294049
274,1994,THA,0.3625424958669826
275,1994,TUN,0.16438663075068355
276,1994,TUR,0.20369668916962355
277,1994,UGA,0.16507651541237928
278,1994,URY,0.22203910218344117
279,1994,USA,0.1937881417777685
280,1994,VCT,0.45017285066764334
281,1994,VEN,0.3545537587883251
282,1994,VUT,0.7904526757875525
283,1994,ZA1,0.11501124164701207
284,1995,AND,0.7173837568870204
285,1995,ARG,0.13911502249348418
286,1995,AUS,0.1410998641547441
287,1995,AUT,0.14267559363425006
288,1995,BDI,0.5708757744230716
289,1995,BEL,0.145445670691003
290,1995,BFA,0.8998503177623207
291,1995,BGD,0.2713283966895315
292,1995,BLZ,0.8987303342041708
293,1995,BOL,0.526119712566085
294,1995,BRA,0.21244159247907005
295,1995,CAF,0.5709481092508711
296,1995,CAN,0.25758158972421513
297,1995,CHE,0.19770687593777717
