,importer,baseline_supply,imports_china,after_shock_imports,new_baseline_supply,absolute_loss,loss_percent,absolute_loss_100m,supply_concentration,vulnerability_type,china_share,china_loss,replacement,adjusted_loss,Region Name
100,PAK,2211978310.153,2206044907.029,1323626944.2173998,1329560347.3414,882417962.8116,0.39892704135537577,8.82,0.9946438652258566,Highly vulnerable,0.9973176033884393,0.39892704135537577,0.0021367069985496817,0.3967903343568261,Asia
101,PAN,238886856.0,216858102.0,130114861.19999999,152143615.2,86743240.80000001,0.3631143305766476,0.87,0.8256980888911558,Highly vulnerable,0.9077858264416189,0.36311433057664755,0.06329152177051828,0.29982280880612927,Americas
102,PER,168287584.4,159104363.332,95462617.99919999,104645839.0672,63641745.3328,0.37817255241795483,0.64,0.8943740222960144,Highly vulnerable,0.945431381044887,0.37817255241795483,0.039944845589958235,0.3382277068279966,Americas
103,PHL,1707715246.0,624494592.0,374696755.2,1457917409.2,249797836.79999995,0.1462760477105912,2.5,0.18229087880603032,Resilient,0.36569011927647804,0.14627604771059122,0.11961125842515472,0.026664789285436502,Asia
104,POL,1254039547.0,845074299.0,507044579.4,916009827.4,338029719.6,0.269552679107017,3.38,0.46777181636319026,Resilient,0.6738816977675426,0.269552679107017,0.14346353279556348,0.12608914631145354,Europe
105,PRT,1922202619.091,1370121514.5,822072908.6999999,1374154013.291,548048605.8000002,0.28511489910422116,5.48,0.5292986491620397,China dependent,0.7127872477605527,0.2851148991042211,0.13420396815238564,0.15091093095183547,Europe
106,PRY,3633435.1720000003,3054864.89,1832918.9340000001,2411489.216,1221945.9560000002,0.33630597441687343,0.01,0.7109531010276264,Highly vulnerable,0.8407649360421835,0.33630597441687343,0.09720819901107966,0.23909777540579377,Americas
107,PYF,4092090.9919999996,19854.158,11912.494799999999,4084149.3288,7941.663199999835,0.0019407347528502456,0.0,0.964679496815836,Concentrated but safe,0.0048518368821257145,0.001940734752850286,6.85477280176663e-05,0.0018721870248326197,Oceania
108,QAT,57219629.043000005,55816953.9,33490172.339999996,34892847.483,22326781.560000002,0.3901944478392483,0.22,0.9516587351298199,Highly vulnerable,0.9754861195981206,0.3901944478392483,0.01886249315387077,0.3713319546853775,Asia
109,ROU,1913885542.46,170136432.88,102081859.728,1845830969.3079998,68054573.15200019,0.03555832971313776,0.68,0.2170258329735383,Resilient,0.08889582428284414,0.03555832971313765,0.02784125358799624,0.007717076125141414,Europe
